Element	C1	C2	C3	C4	C5	C6	U1	U2
66 Dy dysprosium	5.2e-6	8.5e-6		3.700e-6	6.102e-6		3.500e-6	
67 Ho holmium	1.3e-6	1.6e-6	1.3e-6	7.80e-7	1.860e-6		8.00e-7	6.20e-7
68 Er erbium	3.5e-6	3.6e-6	3.5e-6	2.200e-6	3.390e-6		2.300e-6	
69 Tm thulium	5.2e-7	5.2e-7	5e-7	3.20e-7		2.40e-7	3.30e-7	
70 Yb ytterbium	3.2e-6	3.4e-6	3.1e-6	2.200e-6	3.390e-6	1.530e-6	2.200e-6	1.500e-6
71 Lu lutetium	8e-7	8e-7		3.00e-7	5.76e-7	2.30e-7	3.20e-7	2.30e-7
72 Hf hafnium	3.0e-6	4e-6	2.8e-6	3.000e-6	3.460e-6	4.700e-6	5.800e-6	5.800e-6
73 Ta tantalum	2.0e-6	2.4e-6	1.7e-6	1.000e-6	2.203e-6		2.200e-6	
74 W tungsten	1.25e-6	1.0e-6	1.2e-6	1.000e-6	1.310e-6		2.000e-6	
75 Re rhenium	7e-10	4e-10	7e-10	5e-10	1.02e-9		5e-10	
76 Os osmium	1.5e-9	2e-10	5e-9		1.02e-9			
77 Ir iridium	1e-9	2e-10	1e-9	1e-10	1.02e-9		2e-11	
78 Pt platinum	5e-9		1e-8					
79 Au gold	4e-9	2e-9	4e-9	3.0e-9	4.07e-9		1.8e-9	
80 Hg mercury	8.5e-8	2e-8	8e-8					
81 Tl thallium	8.5e-7	4.7e-7	7e-7	3.60e-7			7.50e-7	5.20e-7
82 Pb lead	1.4e-5	1.0e-5	1.3e-5	8.000e-6		1.5000e-5	2.0000e-5	1.7000e-5
83 Bi bismuth	8.5e-9	4e-9	8e-9	6.0e-8			1.27e-7	
84 Po polonium	2e-16							
85 At astatine								
86 Rn radon	4e-19							
87 Fr francium								
88 Ra radium	9e-13							
89 Ac actinium	5.5e-16							
90 Th thorium	9.6e-6	5.8e-6	8.1e-6	3.500e-6		5.700e-6	1.0700e-5	1.0000e-5
91 Pa protactinium	1.4e-12							
92 U uranium	2.7e-6	1.6e-6	2.3e-6	9.10e-7	1.200e-6	1.300e-6	2.800e-6	2.500e-6
93 Np neptunium								
94 Pu plutonium								
